Gender,Item Purchased,Category,Location,Season,Discount Applied,Promo Code Used,Frequency of Purchases,Purchase Intent Category
Female,Handbag,Accessories,Italy,Spring,No,No,Every 3 Months,Wants-based
Male,Backpack,Accessories,Germany,Spring,No,No,Monthly,Wants-based
Female,Socks,Clothing,Italy,Winter,No,No,Every 3 Months,Wants-based
Male,Jeans,Clothing,South Africa,Summer,No,No,Weekly,Wants-based
Male,Sandals,Footwear,China,Fall,Yes,Yes,Every 3 Months,Wants-based
Female,Pants,Clothing,Egypt,Summer,No,No,Annually,Wants-based
Male,Jacket,Outerwear,Kenya,Winter,No,No,Every 3 Months,Wants-based
Female,Shoes,Footwear,South Korea,Spring,No,No,Bi-Weekly,Wants-based
Male,Belt,Accessories,Spain,Fall,Yes,Yes,Monthly,Wants-based
Female,T-shirt,Clothing,Spain,Winter,No,No,Annually,Wants-based
Male,Socks,Clothing,Germany,Winter,No,No,Monthly,Wants-based
Male,Sandals,Footwear,Vietnam,Spring,Yes,Yes,Fortnightly,Wants-based
Male,Pants,Clothing,Mexico,Summer,Yes,Yes,Fortnightly,Wants-based
Male,Sunglasses,Accessories,Australia,Fall,Yes,Yes,Every 3 Months,Wants-based
Male,Handbag,Accessories,Argentina,Winter,Yes,Yes,Every 3 Months,Wants-based
Male,Skirt,Clothing,South Africa,Fall,Yes,Yes,Every 3 Months,Wants-based
Female,Belt,Accessories,Vietnam,Summer,No,No,Every 3 Months,Wants-based
Male,Dress,Clothing,China,Spring,Yes,Yes,Weekly,Wants-based
Male,Dress,Clothing,Canada,Fall,Yes,Yes,Every 3 Months,Wants-based
Male,Sunglasses,Accessories,Philippines,Winter,Yes,Yes,Bi-Weekly,Wants-based
Female,Pants,Clothing,Spain,Winter,No,No,Bi-Weekly,Wants-based
Male,Backpack,Accessories,Canada,Summer,Yes,Yes,Fortnightly,Wants-based
Male,Pants,Clothing,Vietnam,Summer,Yes,Yes,Monthly,Wants-based
Female,T-shirt,Clothing,Kenya,Spring,No,No,Quarterly,Wants-based
Female,Sneakers,Footwear,Nigeria,Winter,No,No,Monthly,Wants-based
Male,T-shirt,Clothing,France,Fall,No,No,Every 3 Months,Wants-based
Male,Jacket,Outerwear,South Korea,Summer,Yes,Yes,Every 3 Months,Wants-based
Male,Sunglasses,Accessories,United States,Winter,Yes,Yes,Weekly,Wants-based
Male,Dress,Clothing,Malaysia,Summer,Yes,Yes,Weekly,Wants-based
Male,Sweater,Clothing,Philippines,Fall,Yes,Yes,Monthly,Wants-based
Male,Jeans,Clothing,Nigeria,Summer,No,No,Every 3 Months,Wants-based
Male,Socks,Clothing,Italy,Fall,Yes,Yes,Annually,Wants-based
Male,Sandals,Footwear,Nigeria,Winter,Yes,Yes,Annually,Wants-based
Male,Dress,Clothing,United Kingdom,Fall,No,No,Quarterly,Wants-based
Male,Shoes,Footwear,Italy,Fall,Yes,Yes,Fortnightly,Wants-based
Male,Hoodie,Clothing,Mexico,Fall,No,No,Bi-Weekly,Wants-based
Male,Pants,Clothing,South Korea,Fall,Yes,Yes,Quarterly,Wants-based
Male,Sandals,Footwear,United States,Summer,Yes,Yes,Bi-Weekly,Wants-based
Female,Jeans,Clothing,Germany,Fall,No,No,Monthly,Wants-based
Female,Hoodie,Clothing,Singapore,Winter,No,No,Annually,Wants-based
Male,Handbag,Accessories,Spain,Fall,No,No,Monthly,Wants-based
Male,Sandals,Footwear,Malaysia,Spring,Yes,Yes,Fortnightly,Wants-based
Male,Handbag,Accessories,South Korea,Fall,No,No,Bi-Weekly,Wants-based
Male,Dress,Clothing,Philippines,Spring,Yes,Yes,Fortnightly,Wants-based
Female,Coat,Outerwear,Australia,Summer,No,No,Fortnightly,Wants-based
Male,Dress,Clothing,Argentina,Spring,No,No,Annually,Wants-based
Male,Blouse,Clothing,Spain,Fall,Yes,Yes,Bi-Weekly,Wants-based
Female,Sandals,Footwear,Netherlands,Spring,No,No,Quarterly,Wants-based
Male,Sandals,Footwear,South Korea,Fall,No,No,Weekly,Wants-based
Male,Backpack,Accessories,Philippines,Summer,Yes,Yes,Every 3 Months,Wants-based
Female,Jewelry,Accessories,France,Summer,No,No,Annually,Wants-based
Male,Backpack,Accessories,Netherlands,Spring,No,No,Fortnightly,Wants-based
Male,Hoodie,Clothing,United States,Spring,Yes,Yes,Bi-Weekly,Wants-based
Male,Jewelry,Accessories,Italy,Summer,No,No,Annually,Wants-based
Male,Shorts,Clothing,Germany,Fall,Yes,Yes,Annually,Wants-based
Male,Blouse,Clothing,United States,Winter,No,No,Fortnightly,Wants-based
Female,Shoes,Footwear,Nigeria,Winter,No,No,Fortnightly,Wants-based
Male,Sandals,Footwear,China,Summer,Yes,Yes,Weekly,Wants-based
Male,Blouse,Clothing,South Korea,Summer,No,No,Annually,Wants-based
Female,Skirt,Clothing,Spain,Summer,No,No,Every 3 Months,Wants-based
Male,Sweater,Clothing,Canada,Summer,No,No,Every 3 Months,Wants-based
Male,Jewelry,Accessories,Spain,Spring,Yes,Yes,Weekly,Wants-based
Male,Sunglasses,Accessories,South Korea,Spring,Yes,Yes,Fortnightly,Wants-based
Male,Backpack,Accessories,South Africa,Summer,Yes,Yes,Bi-Weekly,Wants-based
Male,Jacket,Outerwear,Philippines,Fall,Yes,Yes,Fortnightly,Wants-based
Male,Sandals,Footwear,South Africa,Summer,Yes,Yes,Weekly,Wants-based
Female,Sneakers,Footwear,China,Fall,No,No,Weekly,Wants-based
Male,Pants,Clothing,Egypt,Summer,Yes,Yes,Annually,Wants-based
Male,Coat,Outerwear,Indonesia,Fall,Yes,Yes,Monthly,Wants-based
Female,Jacket,Outerwear,Kenya,Spring,No,No,Quarterly,Wants-based
Female,Sneakers,Footwear,Malaysia,Spring,No,No,Quarterly,Wants-based
Male,T-shirt,Clothing,Spain,Winter,Yes,Yes,Weekly,Wants-based
Female,Boots,Footwear,Canada,Summer,No,No,Weekly,Wants-based
Male,Sunglasses,Accessories,Mexico,Spring,Yes,Yes,Annually,Wants-based
Male,Shirt,Clothing,South Korea,Spring,No,No,Weekly,Wants-based
Female,Jacket,Outerwear,Canada,Fall,No,No,Weekly,Wants-based
Male,Handbag,Accessories,South Africa,Fall,Yes,Yes,Fortnightly,Wants-based
Female,Sandals,Footwear,China,Summer,No,No,Quarterly,Wants-based
Male,Handbag,Accessories,Australia,Spring,Yes,Yes,Monthly,Wants-based
Male,Sneakers,Footwear,Mexico,Spring,Yes,Yes,Quarterly,Wants-based
Male,Jacket,Outerwear,Mexico,Summer,Yes,Yes,Fortnightly,Wants-based
Female,T-shirt,Clothing,Egypt,Spring,No,No,Fortnightly,Wants-based
Male,Gloves,Accessories,South Korea,Winter,Yes,Yes,Annually,Wants-based
Male,Coat,Outerwear,France,Spring,Yes,Yes,Monthly,Wants-based
Male,Gloves,Accessories,Germany,Fall,Yes,Yes,Every 3 Months,Wants-based
Female,Shirt,Clothing,Germany,Summer,No,No,Annually,Wants-based
Male,Shoes,Footwear,Indonesia,Spring,Yes,Yes,Annually,Wants-based
Female,Handbag,Accessories,Chile,Fall,No,No,Annually,Wants-based
Female,Sunglasses,Accessories,Netherlands,Winter,No,No,Quarterly,Wants-based
Male,Backpack,Accessories,United Kingdom,Spring,No,No,Quarterly,Wants-based
Female,Skirt,Clothing,Indonesia,Winter,No,No,Annually,Wants-based
Female,Hat,Accessories,Canada,Fall,No,No,Fortnightly,Wants-based
Male,Sandals,Footwear,Nigeria,Fall,Yes,Yes,Monthly,Wants-based
Female,Shorts,Clothing,Egypt,Fall,No,No,Every 3 Months,Wants-based
Male,Jacket,Outerwear,Spain,Winter,No,No,Monthly,Wants-based
Male,Jewelry,Accessories,Nigeria,Summer,No,No,Fortnightly,Wants-based
Male,Sweater,Clothing,United States,Spring,No,No,Bi-Weekly,Wants-based
Male,Jacket,Outerwear,Argentina,Fall,No,No,Weekly,Wants-based
Female,Scarf,Accessories,Vietnam,Fall,No,No,Fortnightly,Wants-based
Male,Boots,Footwear,Argentina,Fall,Yes,Yes,Monthly,Wants-based
Female,Belt,Accessories,Nigeria,Winter,No,No,Monthly,Wants-based
Female,Scarf,Accessories,Nigeria,Summer,No,No,Every 3 Months,Wants-based
Male,Socks,Clothing,Egypt,Spring,Yes,Yes,Fortnightly,Wants-based
Male,Backpack,Accessories,South Africa,Fall,Yes,Yes,Every 3 Months,Wants-based
Female,Backpack,Accessories,South Africa,Spring,No,No,Bi-Weekly,Wants-based
Male,Jewelry,Accessories,Malaysia,Fall,Yes,Yes,Weekly,Wants-based
Male,Shirt,Clothing,Chile,Summer,No,No,Bi-Weekly,Wants-based
Female,Hoodie,Clothing,Chile,Winter,No,No,Annually,Wants-based
Male,Pants,Clothing,Philippines,Spring,Yes,Yes,Annually,Wants-based
Female,Socks,Clothing,Chile,Winter,No,No,Annually,Wants-based
Male,Scarf,Accessories,Malaysia,Summer,No,No,Quarterly,Wants-based
Male,Pants,Clothing,United States,Summer,Yes,Yes,Monthly,Wants-based
Male,Jewelry,Accessories,Nigeria,Fall,Yes,Yes,Quarterly,Wants-based
Male,Sneakers,Footwear,Vietnam,Fall,Yes,Yes,Fortnightly,Wants-based
Male,Sweater,Clothing,South Korea,Winter,Yes,Yes,Fortnightly,Wants-based
Female,Sunglasses,Accessories,United Kingdom,Fall,No,No,Weekly,Wants-based
Female,Blouse,Clothing,Germany,Winter,No,No,Annually,Wants-based
Male,T-shirt,Clothing,Italy,Winter,Yes,Yes,Weekly,Wants-based
Female,Boots,Footwear,Netherlands,Spring,No,No,Fortnightly,Wants-based
Male,Handbag,Accessories,United Kingdom,Winter,Yes,Yes,Fortnightly,Wants-based
Male,T-shirt,Clothing,United States,Summer,Yes,Yes,Annually,Wants-based
Female,Blouse,Clothing,United States,Summer,No,No,Bi-Weekly,Wants-based
Male,Blouse,Clothing,Mexico,Summer,Yes,Yes,Bi-Weekly,Wants-based
Male,Hat,Accessories,Chile,Winter,Yes,Yes,Weekly,Wants-based
Male,Jewelry,Accessories,Germany,Spring,Yes,Yes,Quarterly,Wants-based
Male,Hoodie,Clothing,Kenya,Summer,Yes,Yes,Every 3 Months,Wants-based
Female,Hat,Accessories,Canada,Winter,No,No,Bi-Weekly,Wants-based
Female,Boots,Footwear,Thailand,Fall,No,No,Annually,Wants-based
Female,Sandals,Footwear,Nigeria,Winter,No,No,Quarterly,Wants-based
Male,Gloves,Accessories,South Africa,Summer,Yes,Yes,Monthly,Wants-based
Male,Skirt,Clothing,Spain,Winter,No,No,Fortnightly,Wants-based
Female,Skirt,Clothing,Vietnam,Summer,No,No,Monthly,Wants-based
Female,Boots,Footwear,Egypt,Spring,No,No,Fortnightly,Wants-based
Female,Sunglasses,Accessories,Spain,Winter,No,No,Weekly,Wants-based
Female,Gloves,Accessories,Spain,Spring,No,No,Monthly,Wants-based
Male,Handbag,Accessories,Chile,Fall,Yes,Yes,Annually,Wants-based
Male,Jeans,Clothing,United Kingdom,Winter,Yes,Yes,Annually,Wants-based
Male,T-shirt,Clothing,Egypt,Winter,No,No,Weekly,Wants-based
Male,T-shirt,Clothing,Kenya,Winter,Yes,Yes,Bi-Weekly,Wants-based
Male,Sandals,Footwear,Italy,Fall,Yes,Yes,Weekly,Wants-based
Female,Belt,Accessories,Netherlands,Winter,No,No,Fortnightly,Wants-based
Female,Shoes,Footwear,France,Spring,No,No,Bi-Weekly,Wants-based
Male,Blouse,Clothing,United States,Fall,Yes,Yes,Monthly,Wants-based
Female,Scarf,Accessories,Philippines,Summer,No,No,Every 3 Months,Wants-based
Male,Jewelry,Accessories,Malaysia,Summer,Yes,Yes,Fortnightly,Wants-based
Male,Sneakers,Footwear,Italy,Spring,No,No,Fortnightly,Wants-based
Female,Jeans,Clothing,Argentina,Summer,No,No,Annually,Wants-based
Male,Pants,Clothing,Kenya,Summer,No,No,Every 3 Months,Wants-based
Female,Sneakers,Footwear,Germany,Winter,No,No,Every 3 Months,Wants-based
Male,Sweater,Clothing,Mexico,Spring,No,No,Bi-Weekly,Wants-based
Male,Shoes,Footwear,Malaysia,Winter,No,No,Weekly,Wants-based
Female,Skirt,Clothing,Nigeria,Spring,No,No,Annually,Wants-based
Male,Skirt,Clothing,Philippines,Fall,No,No,Quarterly,Wants-based
Male,Jeans,Clothing,Kenya,Summer,Yes,Yes,Fortnightly,Wants-based
Male,Shoes,Footwear,Spain,Summer,Yes,Yes,Fortnightly,Wants-based
Male,Jewelry,Accessories,Nigeria,Winter,No,No,Quarterly,Wants-based
Male,Skirt,Clothing,Kenya,Winter,Yes,Yes,Fortnightly,Wants-based
Female,Backpack,Accessories,Egypt,Fall,No,No,Annually,Wants-based
Male,Sweater,Clothing,United States,Winter,No,No,Every 3 Months,Wants-based
Male,Gloves,Accessories,United Kingdom,Fall,No,No,Annually,Wants-based
Male,Sweater,Clothing,Spain,Winter,Yes,Yes,Monthly,Wants-based
Male,Scarf,Accessories,Italy,Summer,No,No,Fortnightly,Wants-based
Male,T-shirt,Clothing,South Africa,Spring,No,No,Annually,Wants-based
Male,Scarf,Accessories,Canada,Winter,Yes,Yes,Every 3 Months,Wants-based
Female,Handbag,Accessories,Italy,Spring,No,No,Annually,Wants-based
Female,Hoodie,Clothing,Canada,Fall,No,No,Every 3 Months,Wants-based
Male,Hat,Accessories,Nigeria,Summer,No,No,Bi-Weekly,Wants-based
Male,Sweater,Clothing,Australia,Summer,Yes,Yes,Every 3 Months,Wants-based
Male,Socks,Clothing,China,Winter,Yes,Yes,Weekly,Wants-based
Male,Shorts,Clothing,Philippines,Spring,No,No,Quarterly,Wants-based
Male,Pants,Clothing,Kenya,Spring,Yes,Yes,Fortnightly,Wants-based
Female,Sunglasses,Accessories,Mexico,Summer,No,No,Fortnightly,Wants-based
Male,Backpack,Accessories,South Africa,Summer,Yes,Yes,Annually,Wants-based
Male,Shoes,Footwear,Netherlands,Spring,Yes,Yes,Bi-Weekly,Wants-based
Male,Pants,Clothing,Egypt,Summer,Yes,Yes,Fortnightly,Wants-based
Male,Gloves,Accessories,Netherlands,Spring,No,No,Bi-Weekly,Wants-based
Male,Hoodie,Clothing,Kenya,Summer,No,No,Every 3 Months,Wants-based
Female,Handbag,Accessories,Spain,Fall,No,No,Monthly,Wants-based
Male,Jacket,Outerwear,Malaysia,Winter,No,No,Weekly,Wants-based
Female,Sneakers,Footwear,South Korea,Fall,No,No,Fortnightly,Wants-based
Male,Blouse,Clothing,Spain,Summer,Yes,Yes,Bi-Weekly,Wants-based
Female,Handbag,Accessories,United Kingdom,Summer,No,No,Weekly,Wants-based
Male,Shirt,Clothing,Kenya,Winter,Yes,Yes,Weekly,Wants-based
Male,Scarf,Accessories,China,Summer,Yes,Yes,Annually,Wants-based
Male,Skirt,Clothing,United States,Winter,Yes,Yes,Weekly,Wants-based
Female,Shorts,Clothing,Italy,Winter,No,No,Annually,Wants-based
Male,Blouse,Clothing,Kenya,Summer,Yes,Yes,Fortnightly,Wants-based
Male,T-shirt,Clothing,United States,Spring,Yes,Yes,Bi-Weekly,Wants-based
Female,Sunglasses,Accessories,Mexico,Summer,No,No,Bi-Weekly,Wants-based
Female,Jacket,Outerwear,Malaysia,Fall,No,No,Annually,Wants-based
Male,Jeans,Clothing,Nigeria,Summer,Yes,Yes,Every 3 Months,Wants-based
Male,Scarf,Accessories,Nigeria,Fall,Yes,Yes,Quarterly,Wants-based
Male,Jewelry,Accessories,Thailand,Fall,Yes,Yes,Quarterly,Wants-based
Female,Coat,Outerwear,Italy,Fall,No,No,Annually,Wants-based
Female,Socks,Clothing,Netherlands,Summer,No,No,Every 3 Months,Wants-based
Male,Boots,Footwear,Thailand,Spring,Yes,Yes,Annually,Wants-based
Male,Gloves,Accessories,Nigeria,Spring,Yes,Yes,Annually,Wants-based
Female,Jacket,Outerwear,Spain,Summer,No,No,Monthly,Wants-based
Male,Socks,Clothing,Spain,Winter,No,No,Annually,Wants-based
Male,Jewelry,Accessories,France,Summer,No,No,Bi-Weekly,Wants-based
Female,Shirt,Clothing,South Africa,Fall,No,No,Weekly,Wants-based
Female,Shorts,Clothing,Nigeria,Spring,No,No,Annually,Wants-based
Female,Shirt,Clothing,Philippines,Winter,No,No,Monthly,Wants-based
Male,Blouse,Clothing,United Kingdom,Spring,Yes,Yes,Bi-Weekly,Wants-based
Male,Scarf,Accessories,Italy,Summer,Yes,Yes,Annually,Wants-based
Male,Socks,Clothing,Thailand,Winter,No,No,Fortnightly,Wants-based
Male,Pants,Clothing,Spain,Winter,Yes,Yes,Bi-Weekly,Wants-based
Male,Skirt,Clothing,Chile,Winter,Yes,Yes,Quarterly,Wants-based
Female,Sweater,Clothing,Netherlands,Spring,No,No,Bi-Weekly,Wants-based
Male,Pants,Clothing,Italy,Fall,Yes,Yes,Weekly,Wants-based
Male,Skirt,Clothing,Spain,Winter,No,No,Fortnightly,Wants-based
Female,Socks,Clothing,Nigeria,Winter,No,No,Bi-Weekly,Wants-based
Female,Hat,Accessories,Canada,Fall,No,No,Annually,Wants-based
Female,Sunglasses,Accessories,South Korea,Fall,No,No,Monthly,Wants-based
Male,Pants,Clothing,Nigeria,Winter,No,No,Bi-Weekly,Wants-based
Female,Blouse,Clothing,Nigeria,Spring,No,No,Bi-Weekly,Wants-based
Male,Skirt,Clothing,Thailand,Spring,Yes,Yes,Monthly,Wants-based
Male,Shirt,Clothing,Singapore,Spring,Yes,Yes,Annually,Wants-based
Female,Coat,Outerwear,Nigeria,Spring,No,No,Quarterly,Wants-based
Female,Blouse,Clothing,Chile,Fall,No,No,Bi-Weekly,Wants-based
Female,Socks,Clothing,Netherlands,Winter,No,No,Annually,Wants-based
Male,Scarf,Accessories,Indonesia,Spring,Yes,Yes,Fortnightly,Wants-based
Male,Sunglasses,Accessories,Malaysia,Summer,Yes,Yes,Bi-Weekly,Wants-based
Male,Sweater,Clothing,Italy,Fall,No,No,Monthly,Wants-based
Female,Skirt,Clothing,Thailand,Fall,No,No,Weekly,Wants-based
Male,Jewelry,Accessories,Italy,Winter,Yes,Yes,Monthly,Wants-based
Female,T-shirt,Clothing,Mexico,Winter,No,No,Quarterly,Wants-based
Female,Pants,Clothing,South Korea,Spring,No,No,Annually,Wants-based
Male,Coat,Outerwear,Netherlands,Winter,Yes,Yes,Every 3 Months,Wants-based
Male,Blouse,Clothing,Philippines,Winter,Yes,Yes,Quarterly,Wants-based
Male,T-shirt,Clothing,Indonesia,Winter,Yes,Yes,Weekly,Wants-based
Male,Boots,Footwear,Thailand,Summer,No,No,Bi-Weekly,Wants-based
Male,Socks,Clothing,Argentina,Summer,No,No,Every 3 Months,Wants-based
Male,Shoes,Footwear,South Korea,Summer,Yes,Yes,Fortnightly,Wants-based
Male,Hat,Accessories,Egypt,Winter,Yes,Yes,Weekly,Wants-based
Male,Jewelry,Accessories,Netherlands,Winter,Yes,Yes,Every 3 Months,Wants-based
Female,Jewelry,Accessories,United States,Winter,No,No,Every 3 Months,Wants-based
Female,Shoes,Footwear,France,Summer,No,No,Weekly,Wants-based
Male,Sunglasses,Accessories,Kenya,Winter,Yes,Yes,Bi-Weekly,Wants-based
Male,Hat,Accessories,China,Winter,Yes,Yes,Annually,Wants-based
Male,Hoodie,Clothing,Malaysia,Winter,Yes,Yes,Annually,Wants-based
Female,Boots,Footwear,Egypt,Fall,No,No,Every 3 Months,Wants-based
Male,Belt,Accessories,Egypt,Fall,Yes,Yes,Bi-Weekly,Wants-based
Male,Boots,Footwear,Argentina,Winter,Yes,Yes,Fortnightly,Wants-based
Male,Shoes,Footwear,Germany,Winter,Yes,Yes,Fortnightly,Wants-based
Male,Coat,Outerwear,Germany,Summer,Yes,Yes,Monthly,Wants-based
Female,Hat,Accessories,Netherlands,Fall,No,No,Annually,Wants-based
Male,Belt,Accessories,Nigeria,Winter,Yes,Yes,Every 3 Months,Wants-based
Male,Sneakers,Footwear,Italy,Summer,Yes,Yes,Every 3 Months,Wants-based
Female,Pants,Clothing,Thailand,Fall,No,No,Annually,Wants-based
Male,Hoodie,Clothing,United Kingdom,Summer,No,No,Monthly,Wants-based
Male,Handbag,Accessories,Spain,Winter,Yes,Yes,Every 3 Months,Wants-based
Male,Handbag,Accessories,South Africa,Fall,Yes,Yes,Annually,Wants-based
Female,Pants,Clothing,Malaysia,Summer,No,No,Every 3 Months,Wants-based
Male,Handbag,Accessories,Indonesia,Summer,Yes,Yes,Quarterly,Wants-based
Male,Shoes,Footwear,Nigeria,Summer,Yes,Yes,Quarterly,Wants-based
Male,Sweater,Clothing,Netherlands,Spring,Yes,Yes,Monthly,Wants-based
Male,Sunglasses,Accessories,United States,Winter,Yes,Yes,Bi-Weekly,Wants-based
Female,T-shirt,Clothing,Malaysia,Fall,No,No,Quarterly,Wants-based
Female,Shorts,Clothing,Argentina,Winter,No,No,Annually,Wants-based
Male,Scarf,Accessories,Philippines,Summer,No,No,Weekly,Wants-based
Male,Jeans,Clothing,Egypt,Winter,Yes,Yes,Weekly,Wants-based
Female,Belt,Accessories,Malaysia,Summer,No,No,Weekly,Wants-based
Female,Hoodie,Clothing,Argentina,Summer,No,No,Monthly,Wants-based
Female,Shirt,Clothing,Philippines,Fall,No,No,Bi-Weekly,Wants-based
Male,Coat,Outerwear,Philippines,Winter,Yes,Yes,Quarterly,Wants-based
Male,Jewelry,Accessories,Mexico,Summer,No,No,Monthly,Wants-based
Male,Boots,Footwear,Australia,Summer,Yes,Yes,Bi-Weekly,Wants-based
Female,Shoes,Footwear,Germany,Fall,No,No,Annually,Wants-based
Male,Jeans,Clothing,United States,Winter,Yes,Yes,Every 3 Months,Wants-based
Female,Blouse,Clothing,Vietnam,Summer,No,No,Annually,Wants-based
Male,Hoodie,Clothing,Mexico,Fall,No,No,Annually,Wants-based
Male,Boots,Footwear,South Korea,Fall,Yes,Yes,Weekly,Wants-based
Male,Scarf,Accessories,France,Winter,Yes,Yes,Every 3 Months,Wants-based
Male,Shorts,Clothing,Egypt,Fall,Yes,Yes,Every 3 Months,Wants-based
Male,Socks,Clothing,Thailand,Spring,Yes,Yes,Bi-Weekly,Wants-based
Female,Handbag,Accessories,Italy,Summer,No,No,Every 3 Months,Wants-based
Male,Shorts,Clothing,United States,Fall,Yes,Yes,Monthly,Wants-based
Female,Dress,Clothing,Nigeria,Summer,No,No,Monthly,Wants-based
Female,Belt,Accessories,United Kingdom,Spring,No,No,Annually,Wants-based
Male,Sandals,Footwear,Kenya,Spring,Yes,Yes,Weekly,Wants-based
